time (days since 1610-01-01),irradiance (W/m^2),uncertainty (W/m^2)
127724.0,1361.02294921875,0.8693953156471252
127725.0,1361.40380859375,0.790241003036499
127726.0,1361.8040771484375,0.7335543036460876
127727.0,1361.8443603515625,0.6247087121009827
127728.0,1361.8946533203125,0.5491210222244263
127729.0,1361.9730224609375,0.5353862643241882
127730.0,1361.58056640625,0.509827196598053
127731.0,1361.7552490234375,0.6082189679145813
127732.0,1361.7802734375,0.618262529373169
127733.0,1362.028564453125,0.6037886738777161
127734.0,1362.1124267578125,0.6859549283981323
127735.0,1362.1622314453125,0.7506271004676819
127736.0,1362.233642578125,0.6563781499862671
127737.0,1362.4285888671875,0.6801542639732361
127738.0,1362.6695556640625,0.6601009368896484
127739.0,1362.40478515625,0.5541219115257263
127740.0,1362.077880859375,0.46061277389526367
127741.0,1362.3497314453125,0.4808884561061859
127742.0,1362.1846923828125,0.4029819369316101
127743.0,1361.904296875,0.3758576512336731
127744.0,1361.8353271484375,0.3898911476135254
127745.0,1361.869873046875,0.4529731869697571
127746.0,1361.778564453125,0.5177809596061707
127747.0,1361.470703125,0.6164301633834839
127748.0,1361.482666015625,0.5765146613121033
127749.0,1361.4412841796875,0.5472699403762817
127750.0,1361.520751953125,0.4938490390777588
127751.0,1361.6029052734375,0.5243735909461975
127752.0,1362.0050048828125,0.49056077003479004
127753.0,1361.7200927734375,0.4594228267669678
127754.0,1361.6192626953125,0.4571317732334137
127755.0,1361.5889892578125,0.48943230509757996
127756.0,1361.6470947265625,0.4807586371898651
127757.0,1361.1986083984375,0.48301342129707336
127758.0,1361.5828857421875,0.5625391006469727
127759.0,1361.7906494140625,0.6372527480125427
127760.0,1361.868408203125,0.6749275326728821
127761.0,1362.0413818359375,0.7370302677154541
127762.0,1362.0994873046875,0.7530730962753296
127763.0,1361.8499755859375,0.7693005800247192
127764.0,1361.3675537109375,0.7460012435913086
127765.0,1361.1278076171875,0.7380924820899963
127766.0,1360.89892578125,0.7641177177429199
127767.0,1360.7542724609375,0.7732784748077393
127768.0,1361.1231689453125,0.6796157956123352
127769.0,1361.3154296875,0.6213427782058716
127770.0,1361.566162109375,0.5513536930084229
127771.0,1361.700439453125,0.5046786665916443
127772.0,1361.5927734375,0.4999016225337982
127773.0,1362.026611328125,0.5767614841461182
127774.0,1362.1055908203125,0.602730929851532
127775.0,1362.28271484375,0.6090995669364929
127776.0,1361.9456787109375,0.5220128297805786
127777.0,1361.896240234375,0.4151665270328522
127778.0,1361.156005859375,0.31453508138656616
127779.0,1361.6690673828125,0.4731680154800415
127780.0,1361.17431640625,0.5974224805831909
127781.0,1360.68115234375,0.7062202095985413
127782.0,1360.545166015625,0.7752063870429993
127783.0,1360.3798828125,0.849786639213562
127784.0,1360.0694580078125,0.8988943696022034
127785.0,1360.3946533203125,0.9122574329376221
127786.0,1361.33203125,0.8031544089317322
127787.0,1361.5445556640625,0.7367997169494629
127788.0,1362.0611572265625,0.6333670020103455
127789.0,1362.5067138671875,0.572865903377533
127790.0,1362.4932861328125,0.49391236901283264
127791.0,1362.3162841796875,0.4480014145374298
127792.0,1362.032958984375,0.47457456588745117
127793.0,1361.9132080078125,0.49552643299102783
127794.0,1361.5992431640625,0.5882289409637451
127795.0,1361.3182373046875,0.6745064854621887
127796.0,1361.203125,0.7331212162971497
127797.0,1360.9266357421875,0.843604326248169
127798.0,1360.7647705078125,0.9887911677360535
127799.0,1361.1314697265625,1.0278831720352173
127800.0,1360.6014404296875,1.0068411827087402
127801.0,1360.4981689453125,1.083027958869934
127802.0,1360.496337890625,1.1350117921829224
127803.0,1360.6109619140625,1.0192468166351318
127804.0,1360.95068359375,0.9445914030075073
127805.0,1360.547607421875,0.9943519234657288
127806.0,1360.915771484375,0.940114438533783
127807.0,1361.124267578125,0.9484136700630188
127808.0,1361.3006591796875,0.9632002711296082
127809.0,1361.4967041015625,0.8467510342597961
127810.0,1361.86962890625,0.7447895407676697
127811.0,1361.883544921875,0.666133463382721
